Date: <<2013/05/02 18:03:00>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 18:05:39>>, File: <<File.php>>, Line: <<16>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 18:05:39>>, File: <<ProjectItem.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: name>> 
Date: <<2013/05/02 18:05:39>>, File: <<File.php>>, Line: <<16>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 18:05:39>>, File: <<ProjectItem.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: name>> 
Date: <<2013/05/02 18:05:39>>, File: <<File.php>>, Line: <<16>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 18:05:39>>, File: <<ProjectItem.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: name>> 
Date: <<2013/05/02 18:05:39>>, File: <<File.php>>, Line: <<16>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 18:05:39>>, File: <<ProjectItem.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: name>> 
Date: <<2013/05/02 18:05:39>>, File: <<File.php>>, Line: <<16>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
