Date: <<2013/05/03 20:02:43>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:02:43>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:03:07>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:03:07>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:05:51>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:05:51>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:07:52>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:07:52>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:12:09>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:12:09>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:13:23>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:13:23>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:15:10>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:15:10>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:16:15>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:16:15>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:16:46>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:16:46>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 20:19:48>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 20:19:48>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
